SPY US Equity,,,
Dates,PX_OPEN,PX_LAST,PX_VOLUME
4/25/1994,44.844,45.328,394600
4/26/1994,45.266,45.281,389000
4/28/1994,45.188,44.953,287000
4/29/1994,44.875,45.094,481900
5/2/1994,45.094,45.375,275000
5/3/1994,45.391,45.328,183400
5/4/1994,45.422,45.25,401900
5/5/1994,45.297,45.188,663300
5/6/1994,43.969,44.75,216300
5/9/1994,44.625,44.359,499300
5/10/1994,44.578,44.703,583900
5/11/1994,44.656,44.297,210600
5/12/1994,44.578,44.516,305200
5/13/1994,44.641,44.516,321300
5/16/1994,44.609,44.531,450400
5/17/1994,44.563,45.188,490200
5/18/1994,45.219,45.516,824800
5/19/1994,45.422,45.734,531000
5/20/1994,45.656,45.563,370400
5/23/1994,45.516,45.484,262700
5/24/1994,45.609,45.672,549600
5/25/1994,45.5,45.797,738200
5/26/1994,45.781,45.828,369600
5/27/1994,45.75,45.875,162000
5/31/1994,45.688,45.813,159700
6/1/1994,45.703,46.016,200500
6/2/1994,46.047,45.969,55100
6/3/1994,46,46.234,550400
6/6/1994,46.328,46.219,99300
6/7/1994,46.141,46.156,120600
6/8/1994,46.266,45.781,131900
6/9/1994,45.984,46.031,95500
6/10/1994,46.078,46.109,83100
6/13/1994,46.047,46.172,109700
6/14/1994,46.313,46.531,161000
6/15/1994,46.547,46.344,142800
6/16/1994,46.344,46.438,44100
6/17/1994,46.156,45.875,460500
6/20/1994,45.547,45.484,137400
6/21/1994,45.453,45.094,139200
6/22/1994,45.219,45.266,286900
6/23/1994,45.344,45,922500
6/24/1994,44.781,44.063,353800
6/27/1994,44.234,44.828,371200
6/28/1994,44.844,44.609,5382300
6/29/1994,44.672,44.75,311800
6/30/1994,44.828,44.469,271900
7/1/1994,44.688,44.563,406900
7/5/1994,44.656,44.797,112000
7/6/1994,44.625,44.734,174800
7/7/1994,44.734,44.922,66700
7/8/1994,44.641,44.906,148400
7/11/1994,44.938,44.75,124000
7/12/1994,44.766,44.813,257300
7/13/1994,44.828,44.891,532700
7/14/1994,45.109,45.375,544200
7/15/1994,45.344,45.391,49100
7/18/1994,45.391,45.469,72300
7/19/1994,45.547,45.375,609500
7/20/1994,45.406,45.172,185300
7/21/1994,45.172,45.266,86300
7/22/1994,45.375,45.344,151600
7/25/1994,45.359,45.406,120900
7/26/1994,45.391,45.359,489600
7/27/1994,45.359,45.359,83200
7/28/1994,45.359,45.453,828200
7/29/1994,45.766,45.906,459100
8/1/1994,45.938,46.125,486300
8/2/1994,46.281,46.313,505500
8/3/1994,46.172,46.203,144100
8/4/1994,46.172,45.938,231700
8/5/1994,45.703,45.781,138400
8/8/1994,45.828,45.891,328600
8/9/1994,45.719,45.969,105900
8/10/1994,46,46.141,840300
8/11/1994,46.031,45.969,881200
8/12/1994,46.047,46.328,184100
8/15/1994,46.375,46.313,325900
8/16/1994,46.344,46.641,1089500
8/17/1994,46.703,46.609,130500
8/18/1994,46.453,46.453,620000
8/19/1994,46.469,46.422,104200
8/22/1994,46.438,46.375,79700
8/23/1994,46.578,46.641,268600
8/24/1994,46.688,47.141,254700
8/25/1994,47.094,47.016,147400
8/26/1994,47.125,47.688,342600
8/29/1994,47.813,47.656,349800
8/30/1994,47.641,47.781,36000
8/31/1994,47.703,47.656,356200
9/1/1994,47.5,47.5,295300
9/2/1994,47.719,47.297,99600
9/6/1994,47.266,47.313,229800
9/7/1994,47.422,47.266,27900
9/8/1994,47.359,47.5,334800
9/9/1994,47.031,47,488400
9/12/1994,47,46.859,129400
9/13/1994,46.953,47,389200
9/14/1994,46.844,47.047,423500
9/15/1994,47.172,47.641,779800
9/16/1994,47,47.016,574600
9/19/1994,47.125,47.063,187100
9/20/1994,46.813,46.172,355600
9/21/1994,46.313,46.172,397500
9/22/1994,46.281,46.063,266400
9/23/1994,46.078,45.906,176600
9/26/1994,46.078,46.141,223000
9/27/1994,46.141,46.109,579900
9/28/1994,46.359,46.469,331000
9/29/1994,46.469,46.234,195900
9/30/1994,46.219,46.172,5200
10/3/1994,46.203,46.063,74600
10/4/1994,46.297,45.375,84200
10/5/1994,45.297,45.391,464400
10/6/1994,45.422,45.25,346200
10/7/1994,45.25,45.453,188700
10/10/1994,45.656,45.938,213600
10/11/1994,46.141,46.625,461400
10/12/1994,46.688,46.688,162400
10/13/1994,47.219,46.844,1568100
10/14/1994,47,47.047,72800
10/17/1994,47,46.953,282300
10/18/1994,46.906,46.844,132100
10/19/1994,46.672,47.063,136700
10/20/1994,47.063,46.781,291100
10/21/1994,46.625,46.563,87800
10/24/1994,46.578,46.172,149600
10/25/1994,46.016,46.219,102700
10/26/1994,46.391,46.391,201000
10/27/1994,46.563,46.672,210300
10/28/1994,46.766,47.641,192100
10/31/1994,47.547,47.484,36300
11/1/1994,47.281,46.953,435200
11/2/1994,46.813,46.688,125600
11/3/1994,46.844,46.938,86200
11/4/1994,47.156,46.328,124400
11/7/1994,46.438,46.469,115000
11/8/1994,46.625,46.828,308300
11/9/1994,47.328,46.906,319500
11/10/1994,46.938,46.578,172100
11/11/1994,46.516,46.406,301800
11/14/1994,46.609,46.844,181400
11/15/1994,46.797,46.688,316900
11/16/1994,46.766,46.844,106900
11/17/1994,46.875,46.531,104700
11/18/1994,46.547,46.469,309300
11/21/1994,46.438,46,283100
11/22/1994,45.828,45,510600
11/23/1994,45.031,45.25,601600
11/25/1994,45.281,45.469,77300
11/28/1994,45.453,45.672,79900
11/29/1994,45.656,45.656,105500
11/30/1994,45.891,45.594,218800
12/1/1994,45.641,45.141,439000
12/2/1994,45.047,45.563,318500
12/5/1994,45.656,45.609,139200
12/6/1994,45.438,45.641,249900
12/7/1994,45.359,45.313,531900
12/8/1994,45.5,44.875,261500
12/9/1994,44.875,45.047,239800
12/12/1994,44.953,45.344,151100
12/13/1994,45.313,45.516,89900
12/14/1994,45.453,45.75,176300
12/15/1994,45.813,45.891,130100
12/16/1994,45.672,45.75,266100
12/19/1994,45.75,45.813,1120200
12/20/1994,45.859,45.672,678800
12/21/1994,45.703,46.156,549500
12/22/1994,46.156,46.016,222000
12/23/1994,45.984,46.063,125800
12/27/1994,46.219,46.313,95200
12/28/1994,46.313,46.078,358200
12/29/1994,46.25,46.109,220100
12/30/1994,46.203,45.563,2210500
1/3/1995,45.703,45.781,324300
1/4/1995,45.984,46,351800
1/5/1995,46.031,46,89800
1/6/1995,46.094,46.047,453400
1/9/1995,46.031,46.094,36800
1/10/1995,46.203,46.141,229800
1/11/1995,46.297,46.172,220400
1/12/1995,46.125,46.188,40300
1/13/1995,46.438,46.734,175600
1/16/1995,46.719,47.016,105100
1/17/1995,46.922,47.031,89500
